,ChEMBL_ID,REFERENCE,PUBMED_ID
106,CHEMBL581096,"Bioorg. Med. Chem. Lett., 17, p. 5886 (2007)",17884497
107,CHEMBL1516890,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
108,CHEMBL1909352,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
109,CHEMBL176857,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
110,CHEMBL218859,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
111,CHEMBL263796,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
112,CHEMBL218969,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
113,CHEMBL218970,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
114,CHEMBL385426,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
115,CHEMBL1909353,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
116,CHEMBL1909385,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
117,CHEMBL1909354,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
118,CHEMBL1909355,"Bioorg. Med. Chem. Lett., 13, p. 637 (2003)",12639547
119,CHEMBL1789961,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
120,CHEMBL365286,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
121,CHEMBL318728,"J. Med. Chem., 48, p. 1610 (2005)",15743202
122,CHEMBL237347,"Bioorg. Med. Chem. Lett., 17, p. 5886 (2007)",17884497
123,CHEMBL1885746,"Org Lett, 7, p. 4753 (2005)",16209527
124,CHEMBL1909386,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
125,CHEMBL1909387,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
126,CHEMBL1909402,"Org Lett, 7, p. 4753 (2005)",16209527
127,CHEMBL1909388,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
128,CHEMBL1909403,"Org Lett, 7, p. 4753 (2005)",16209527
129,CHEMBL1909356,"Bioorg. Med. Chem. Lett., 13, p. 637 (2003)",12639547
130,CHEMBL194062,"J. Med. Chem., 48, p. 1610 (2005)",15743202
